,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
68,,Q,1,31,0 days 00:01:31.782000,8,240,269,320,TRUE,SOFT,2,TRUE,3,Alpine,OCO,1,7
64,,Q,1,20,0 days 00:01:31.808000,11,241,270,318,TRUE,SOFT,2,TRUE,4,Haas F1 Team,MAG,1,8
69,,Q,1,47,0 days 00:01:31.998000,8,241,271,317,TRUE,SOFT,2,TRUE,3,Haas F1 Team,MSC,1,9
70,,Q,1,4,0 days 00:01:32.008000,13,237,267,313,TRUE,SOFT,2,TRUE,4,McLaren,NOR,1,10
65,,Q,1,14,0 days 00:01:32.195000,13,239,268,320,TRUE,SOFT,2,TRUE,5,Alpine,ALO,1,11
66,,Q,1,63,0 days 00:01:32.216000,16,238,267,309,TRUE,SOFT,2,TRUE,5,Mercedes,RUS,1,12
67,,Q,1,10,0 days 00:01:32.338000,20,239,269,315,TRUE,SOFT,2,TRUE,7,AlphaTauri,GAS,2,13
71,,Q,1,23,0 days 00:01:32.664000,12,240,271,313,TRUE,SOFT,2,TRUE,5,Williams,ALB,1,14
73,,Q,1,22,0 days 00:01:32.750000,7,235,267,318,TRUE,SOFT,2,TRUE,3,AlphaTauri,TSU,1,15
74,,Q,1,3,0 days 00:01:32.945000,7,237,266,311,TRUE,SOFT,2,TRUE,2,McLaren,RIC,1,16
75,,Q,1,18,0 days 00:01:33.032000,5,238,267,311,TRUE,SOFT,2,TRUE,2,Aston Martin,STR,1,17
72,,Q,1,24,0 days 00:01:33.543000,8,240,268,314,TRUE,SOFT,5,FALSE,3,Alfa Romeo,ZHO,1,18
76,,Q,1,6,0 days 00:01:33.634000,4,240,270,319,TRUE,SOFT,2,TRUE,2,Williams,LAT,1,19
87,,FP1,2,16,0 days 00:01:30.772000,13,280,318,323,TRUE,SOFT,4,TRUE,3,Ferrari,LEC,1,1
77,,FP1,2,1,0 days 00:01:30.888000,8,282,324,329,TRUE,HARD,8,TRUE,1,Red Bull Racing,VER,1,2
95,,FP1,2,77,0 days 00:01:31.084000,18,282,322,327,TRUE,SOFT,7,TRUE,5,Alfa Romeo,BOT,1,3
78,,FP1,2,55,0 days 00:01:31.139000,11,277,317,321,TRUE,SOFT,5,TRUE,2,Ferrari,SAI,1,4
90,,FP1,2,10,0 days 00:01:31.317000,17,280,317,326,TRUE,SOFT,7,TRUE,2,AlphaTauri,GAS,1,5
85,,FP1,2,22,0 days 00:01:31.505000,15,281,321,326,TRUE,SOFT,6,TRUE,2,AlphaTauri,TSU,2,6
89,,FP1,2,11,0 days 00:01:31.563000,15,283,327,333,TRUE,SOFT,5,FALSE,3,Red Bull Racing,PER,1,7
81,,FP1,2,31,0 days 00:01:32.026000,16,276,316,320,TRUE,SOFT,6,TRUE,2,Alpine,OCO,1,8
80,,FP1,2,44,0 days 00:01:32.364000,8,276,316,322,TRUE,SOFT,3,TRUE,2,Mercedes,HAM,1,9
88,,FP1,2,14,0 days 00:01:32.381000,11,276,313,319,TRUE,SOFT,4,TRUE,4,Alpine,ALO,1,10
93,,FP1,2,3,0 days 00:01:32.506000,15,271,307,316,TRUE,SOFT,6,TRUE,2,McLaren,RIC,2,11
86,,FP1,2,18,0 days 00:01:32.582000,15,277,318,325,TRUE,SOFT,2,TRUE,3,Aston Martin,STR,1,12
92,,FP1,2,4,0 days 00:01:32.594000,13,272,312,319,TRUE,SOFT,4,TRUE,2,McLaren,NOR,1,13
83,,FP1,2,24,0 days 00:01:32.608000,22,278,318,324,TRUE,SOFT,6,TRUE,5,Alfa Romeo,ZHO,1,14
94,,FP1,2,63,0 days 00:01:32.839000,8,275,315,324,TRUE,SOFT,8,FALSE,2,Mercedes,RUS,1,15
82,,FP1,2,27,0 days 00:01:33.034000,20,278,314,325,TRUE,SOFT,7,FALSE,4,Aston Martin,HUL,1,16
84,,FP1,2,23,0 days 00:01:33.087000,11,274,317,321,TRUE,SOFT,2,TRUE,2,Williams,ALB,1,17
91,,FP1,2,6,0 days 00:01:33.529000,11,274,316,320,TRUE,SOFT,2,TRUE,2,Williams,LAT,1,18
79,,FP1,2,47,0 days 00:01:34.429000,11,270,314,320,TRUE,MEDIUM,6,TRUE,3,Haas F1 Team,MSC,1,19
106,,FP2,2,16,0 days 00:01:30.772000,13,280,318,323,TRUE,SOFT,4,TRUE,3,Ferrari,LEC,1,1
96,,FP2,2,1,0 days 00:01:30.888000,8,282,324,329,TRUE,HARD,8,TRUE,1,Red Bull Racing,VER,1,2
114,,FP2,2,77,0 days 00:01:31.084000,18,282,322,327,TRUE,SOFT,7,TRUE,5,Alfa Romeo,BOT,1,3
97,,FP2,2,55,0 days 00:01:31.139000,11,277,317,321,TRUE,SOFT,5,TRUE,2,Ferrari,SAI,1,4
